"Data Source","World Development Indicators",

"Last Updated Date","2021-06-30",
Country Name,Country Code,Indicator Name,Indicator Code,1960,1980,2000,2020,
Latin America & Caribbean,LCN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,49.4661047893001,64.5325674201181,75.4782241099828,81.1180900692708,
Least developed countries: UN classification,LDC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,9.69459772547461,17.1572437655254,25.0240862464724,34.6407348362421,
Low income,LIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,13.3386782824355,20.7373248433131,27.2908366726336,33.4508610838983,
Liechtenstein,LIE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,20.437,18.274,15.13,14.416,
Sri Lanka,LKA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.431,18.607,18.38,18.713,
Lower middle income,LMC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.6756483656083,26.4430703921082,33.7053932473765,42.4431319430444,
Low & middle income,LMY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.6092663401542,30.7264212698348,40.2837170763575,51.3911225137508,
Lesotho,LSO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,3.512,11.45,19.548,29.028,
Late-demographic dividend,LTE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,26.2298156020456,32.7438822516775,45.6034030070629,64.1097903624904,
Lithuania,LTU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,39.46,61.158,66.986,68.046,
Luxembourg,LUX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.556,80.042,84.216,91.453,
Latvia,LVA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.867,67.095,68.067,68.315,
"Macao SAR, China",MAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,95.289,98.519,100.0,100.0,
St. Martin (French part),MAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,,,,,
Morocco,MAR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.357,41.21,53.335,63.532,
Monaco,MCO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100.0,100.0,100.0,100.0,
Moldova,MDA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.424,40.387,44.589,42.849,
Madagascar,MDG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,10.642,18.524,27.121,38.534,
Maldives,MDV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,11.173,22.25,27.706,40.669,
Middle East & North Africa,MEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.9190994986276,49.6095324419083,58.5956739086839,65.9741365430288,
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.753,66.339,74.722,80.731,
Marshall Islands,MHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.584,58.298,68.58,77.794,
Middle income,MIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.2725008886634,31.414279118698,41.3651375485054,53.4236512530182,
